"Computername","UpdateKB","UpdateTitle"
"dc3.trumark.org","3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"dc1.trumark.org","3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"dc1.trumark.org","4493435","2019-04 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4493435)"
"dc1.trumark.org","4493467","2019-04 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4493467)"
"dc4.trumark.org","3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"dc2.trumark.org","3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"dc2.trumark.org","4493435","2019-04 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4493435)"
"dc2.trumark.org","4493467","2019-04 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4493467)"
