"Computername","UpdateKB","UpdateTitle"
"vmmgmt2.trumark.org","4041092","2017-09 Security Only Update for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2- 4.7 on Windows 8.1 and Server 2012 R2 for x64 (KB4041092)"
"vmmgmt2.trumark.org","4041085","2017-09 Security and Quality Rollup for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2- 4.7 on Windows 8.1 and Server 2012 R2 for x64 (KB4041085)"
"vmmgmt2.trumark.org","4055266","2018-01 Security and Quality Rollup for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2- 4.7- 4.7.1 on Windows 8.1 and Server 2012 R2 for x64 (KB4055266)"
"vmmgmt2.trumark.org","4055271","2018-01 Security Only Update for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2- 4.7- 4.7.1 on Windows 8.1 and Server 2012 R2 for x64 (KB4055271)"
"vmmgmt2.trumark.org","4103715","2018-05 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4103715)"
"vmmgmt2.trumark.org","4103768","Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 (KB4103768)"
"vmmgmt2.trumark.org","4099635","2018-05 Security and Quality Rollup for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2- 4.7- 4.7.1 on Windows 8.1 and Server 2012 R2 for x64 (KB4099635)"
"vmmgmt2.trumark.org","4099639","2018-05 Security Only Update for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2- 4.7- 4.7.1 on Windows 8.1 and Server 2012 R2 for x64 (KB4099639)"
"vmmgmt2.trumark.org","4284878","2018-06 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4284878)"
"vmmgmt2.trumark.org","4230450","Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 (KB4230450)"
"vmmgmt2.trumark.org","4338824","2018-07 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4338824)"
"vmmgmt2.trumark.org","4339093","Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 (KB4339093)"
"vmmgmt2.trumark.org","4340006","2018-07 Security Only Update for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2- 4.7- 4.7.1- 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4340006)"
"vmmgmt2.trumark.org","4340558","2018-07 Security and Quality Rollup for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2- 4.7- 4.7.1- 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4340558)"
"vmmgmt2.trumark.org","4343888","2018-08 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4343888)"
"vmmgmt2.trumark.org","4343205","Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 (KB4343205)"
"vmmgmt2.trumark.org","4345592","2018-08 Security and Quality Rollup for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2- 4.7- 4.7.1- 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4345592)"
"vmmgmt2.trumark.org","4345681","2018-08 Security Only Update for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2- 4.7- 4.7.1- 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4345681)"
"vmmgmt2.trumark.org","4457916","2018-09 Security Only Update for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2- 4.7- 4.7.1- 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4457916)"
"vmmgmt2.trumark.org","4457920","2018-09 Security and Quality Rollup for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2- 4.7- 4.7.1- 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4457920)"
"vmmgmt2.trumark.org","4457143","2018-09 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4457143)"
"vmmgmt2.trumark.org","4457426","2018-09 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4457426)"
"vmmgmt2.trumark.org","4462941","2018-10 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4462941)"
"vmmgmt2.trumark.org","4462949","2018-10 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4462949)"
"vmmgmt2.trumark.org","4467703","2018-11 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4467703)"
"vmmgmt2.trumark.org","4466536","2018-11 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4466536)"
"vmmgmt2.trumark.org","4470199","2018-12 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4470199)"
"vmmgmt2.trumark.org","4471322","2018-12 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4471322)"
"vmmgmt2.trumark.org","4471983","2018-12 Security Only Update for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2- 4.7- 4.7.1- 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4471983)"
"vmmgmt2.trumark.org","4471989","2018-12 Security and Quality Rollup for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2- 4.7- 4.7.1- 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4471989)"
"vmmgmt2.trumark.org","4480965","2019-01 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4480965)"
"vmmgmt2.trumark.org","4480964","2019-01 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4480964)"
"vmmgmt2.trumark.org","4481484","2019-01 Security and Quality Rollup for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2- 4.7- 4.7.1- 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4481484)"
"vmmgmt2.trumark.org","4481485","2019-01 Security Only Update for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2- 4.7- 4.7.1- 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4481485)"
"vmmgmt2.trumark.org","4487123","2019-02 Security Only Update for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2- 4.7- 4.7.1- 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4487123)"
"vmmgmt2.trumark.org","4487080","2019-02 Security and Quality Rollup for .NET Framework 3.5- 4.5.2- 4.6- 4.6.1- 4.6.2- 4.7- 4.7.1- 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4487080)"
"vmmgmt2.trumark.org","4486474","2019-02 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4486474)"
"vmmgmt2.trumark.org","4487028","2019-02 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4487028)"
"vmmgmt2.trumark.org","4489883","2019-03 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4489883)"
"vmmgmt2.trumark.org","4489873","2019-03 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4489873)"
"vmmgmt2.trumark.org","4493435","2019-04 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4493435)"
"vmmgmt2.trumark.org","4493467","2019-04 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4493467)"
"vmmgmt2.trumark.org","4483187","2018-12 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4483187)"
"prod-akce-02.trumark.org","3159398","Security Update for Windows Server 2008 R2 x64 Edition (KB3159398)"
"ts2.trumark.org","3159398","Security Update for Windows Server 2008 R2 x64 Edition (KB3159398)"
"ts2.trumark.org","3161949","Security Update for Windows Server 2008 R2 x64 Edition (KB3161949)"
"symform1.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"geutebr-3ko3enk.trumark.org","3172729","Security Update for Windows Server 2012 R2 (KB3172729)"
"geutebr-3ko3enk.trumark.org","4489907","2019-03 Security Update for Adobe Flash Player for Windows Server 2012 R2 for x64-based Systems (KB4489907)"
"geutebr-3ko3enk.trumark.org","4489883","2019-03 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4489883)"
"geutebr-3ko3enk.trumark.org","4489873","2019-03 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4489873)"
"geutebr-3ko3enk.trumark.org","4493478","2019-04 Security Update for Adobe Flash Player for Windows Server 2012 R2 for x64-based Systems (KB4493478)"
"geutebr-3ko3enk.trumark.org","4493435","2019-04 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4493435)"
"geutebr-3ko3enk.trumark.org","4493467","2019-04 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4493467)"
"print1.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"print1.trumark.org","4489883","2019-03 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4489883)"
"print1.trumark.org","4489873","2019-03 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4489873)"
"print1.trumark.org","4493435","2019-04 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4493435)"
"print1.trumark.org","4493467","2019-04 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4493467)"
"devicelock1.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"cardwiz1.trumark.org","3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"centrix1.trumark.org","3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"onbase1test.trumark.org","3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"netwrix1.trumark.org","3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"raddon1.trumark.org","3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"profitstar1.trumark.org","3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"helpstar1.trumark.org","3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"monitor1.trumark.org","3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"laserpro1.trumark.org","3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"onbase1.trumark.org","3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"webint1.trumark.org","3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"portal1.trumark.org","3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"laserpro1test.trumark.org","3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"cfm1.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"hr1.trumark.org","3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"netflow1.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"imgctr1.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"imgctr1.trumark.org","4493435","2019-04 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4493435)"
"imgctr1.trumark.org","4493467","2019-04 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4493467)"
"prowatch1.trumark.org","3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"quest1.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"prod-ic-01.trumark.org","3159398","Security Update for Windows Server 2008 R2 x64 Edition (KB3159398)"
"prod-ic-01.trumark.org","4493448","2019-04 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4493448)"
