"UpdateKB","UpdateTitle"
"4493435","2019-04 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4493435)"
"4493467","2019-04 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4493467)"
"4483187","2018-12 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4483187)"
"3159398","Security Update for Windows Server 2008 R2 x64 Edition (KB3159398)"
"3161949","Security Update for Windows Server 2008 R2 x64 Edition (KB3161949)"
"3172729","Security Update for Windows Server 2012 R2 (KB3172729)"
"4489907","2019-03 Security Update for Adobe Flash Player for Windows Server 2012 R2 for x64-based Systems (KB4489907)"
"4493478","2019-04 Security Update for Adobe Flash Player for Windows Server 2012 R2 for x64-based Systems (KB4493478)"
"3159398","Security Update for Windows Server 2012 R2 (KB3159398)"
"4493448","2019-04 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4493448)"
"4493435","2019-04 Cumulative Security Update for Internet Explorer 11 for Windows Server 2008 R2 for x64-based systems (KB4493435)"
"2928120","Security Update for Windows Server 2008 R2 x64 Edition (KB2928120)"
