"UpdateKB","UpdateTitle"
"4099639","2018-05 Security Only Update for .NET Framework 3.5, 4.5.2, 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1 on Windows 8.1 and Server 2012 R2 for x64 (KB4099639)"
"4284878","2018-06 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4284878)"
"4230450","Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 (KB4230450)"
"4338824","2018-07 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4338824)"
"4339093","Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 (KB4339093)"
"4340006","2018-07 Security Only Update for .NET Framework 3.5, 4.5.2, 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1, 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4340006)"
"4340558","2018-07 Security and Quality Rollup for .NET Framework 3.5, 4.5.2, 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1, 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4340558)"
"4343888","2018-08 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4343888)"
"4343205","Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 (KB4343205)"
"4345592","2018-08 Security and Quality Rollup for .NET Framework 3.5, 4.5.2, 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1, 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4345592)"
"4345681","2018-08 Security Only Update for .NET Framework 3.5, 4.5.2, 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1, 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4345681)"
"4457916","2018-09 Security Only Update for .NET Framework 3.5, 4.5.2, 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1, 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4457916)"
"4457920","2018-09 Security and Quality Rollup for .NET Framework 3.5, 4.5.2, 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1, 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4457920)"
"4457143","2018-09 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4457143)"
"4457426","2018-09 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4457426)"
"4462941","2018-10 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4462941)"
"4462949","2018-10 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4462949)"
"4467703","2018-11 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4467703)"
"4466536","2018-11 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4466536)"
"4470199","2018-12 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4470199)"
"4471322","2018-12 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4471322)"
"4471983","2018-12 Security Only Update for .NET Framework 3.5, 4.5.2, 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1, 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4471983)"
"4471989","2018-12 Security and Quality Rollup for .NET Framework 3.5, 4.5.2, 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1, 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4471989)"
"4480965","2019-01 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4480965)"
"4480964","2019-01 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4480964)"
"4481484","2019-01 Security and Quality Rollup for .NET Framework 3.5, 4.5.2, 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1, 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4481484)"
"4481485","2019-01 Security Only Update for .NET Framework 3.5, 4.5.2, 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1, 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4481485)"
"4487123","2019-02 Security Only Update for .NET Framework 3.5, 4.5.2, 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1, 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4487123)"
"4487080","2019-02 Security and Quality Rollup for .NET Framework 3.5, 4.5.2, 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1, 4.7.2 for Windows 8.1 and Server 2012 R2 for x64 (KB4487080)"
"4486474","2019-02 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4486474)"
"4487028","2019-02 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4487028)"
"4489883","2019-03 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4489883)"
"4489873","2019-03 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4489873)"
